source_repo,pattern_name,observed_file_or_dir,borrow_level,proposed_exam_bankflow_file,reason
awesome-agent-harness,single_source_of_truth_registry,_reference_repos/awesome-agent-harness/data/projects.yaml,ADAPT,workflow/TASK_INDEX.md,"Use one authoritative workflow index instead of scattered task notes."
awesome-agent-harness,explicit_curation_policy,_reference_repos/awesome-agent-harness/docs/curation_policy.md,ADAPT,workflow/context/WORKFLOW_OVERVIEW.md,"Define scope, inclusion rules, and lifecycle boundaries for exam workflow artifacts."
awesome-agent-harness,dated_verification_reports,_reference_repos/awesome-agent-harness/reports/verification/,ADAPT,workflow/templates/BATCH_REPORT_TEMPLATE.md,"Dated review artifacts improve auditability of long-running cleaning work."
awesome-agent-harness,generated_readme_catalog,_reference_repos/awesome-agent-harness/README.md,DO_NOT_USE,N/A,"Public catalog generation is not a priority for this operational repo."
OpenHarness,modular_prompt_assembly,_reference_repos/OpenHarness/src/openharness/prompts/context.py,ADAPT,workflow/context/WORKFLOW_OVERVIEW.md,"Adopt selective context loading by phase rather than injecting all instructions at once."
OpenHarness,project_skill_discovery,_reference_repos/OpenHarness/src/openharness/skills/loader.py,ADAPT,workflow/context/,"Repo-local context modules can mimic skill discovery without implementing a runtime loader."
OpenHarness,background_task_metadata,_reference_repos/OpenHarness/src/openharness/tasks/types.py,ADAPT,workflow/templates/RUN_STATE_TEMPLATE.yaml,"Status, progress, notes, and cwd-like provenance map well to batch run tracking."
OpenHarness,task_update_surface,_reference_repos/OpenHarness/src/openharness/tools/task_update_tool.py,ADAPT,workflow/runs/<run-id>/run-state.yaml,"A manual file update pattern is enough; no need for a tool API."
OpenHarness,bundled_plan_skill,_reference_repos/OpenHarness/src/openharness/skills/bundled/content/plan.md,DIRECT,workflow/templates/TASK_BRIEF_TEMPLATE.md,"Short plan-first guidance fits EXAM_BANKFLOW with minimal adaptation."
OpenHarness,full_agent_platform,_reference_repos/OpenHarness/src/openharness/,DO_NOT_USE,N/A,"Too heavy for current needs; repo needs workflow harnessing, not a new agent runtime."
context-engineering-intro,global_context_file,_reference_repos/context-engineering-intro/CLAUDE.md,ADAPT,workflow/context/WORKFLOW_OVERVIEW.md,"A repo-level operating brief is useful, but it should be domain-specific instead of coding-framework-specific."
context-engineering-intro,initial_to_plan_workflow,_reference_repos/context-engineering-intro/README.md,DIRECT,workflow/tasks/EXAM-HARNESS-001.md,"Task brief to plan progression is directly applicable to harness tasks."
context-engineering-intro,prp_template_with_validation,_reference_repos/context-engineering-intro/PRPs/templates/prp_base.md,ADAPT,workflow/templates/TASK_BRIEF_TEMPLATE.md,"The structure is strong, but should be simplified for operational workflow work instead of app implementation."
